x T Eg_Gamma Eg_X Eg_L
0 0 0.726 1.16 0.91
0 10 0.448 0.87875 0.638571
0 300 -84.5695 -88.84 -78.6249
0 600 -202.139 -214.84 -186.487
0.05 0 0.675542 1.158 0.8945
0.05 10 0.398197 0.877048 0.623486
0.05 300 -83.5356 -87.8364 -77.7504
0.05 600 -199.175 -211.952 -184.051
0.1 0 0.62747 1.156 0.879
0.1 10 0.350801 0.875355 0.608412
0.1 300 -82.4876 -86.8215 -76.8675
0.1 600 -196.19 -209.045 -181.6
0.15 0 0.581782 1.154 0.8635
0.15 10 0.305812 0.873672 0.593351
0.15 300 -81.4254 -85.7952 -75.9761
0.15 600 -193.183 -206.119 -179.136
0.2 0 0.53848 1.152 0.848
0.2 10 0.263231 0.872 0.578303
0.2 300 -80.3487 -84.7571 -75.0762
0.2 600 -190.154 -203.172 -176.659
0.25 0 0.497563 1.15 0.8325
0.25 10 0.22306 0.870339 0.563269
0.25 300 -79.2573 -83.7071 -74.1675
0.25 600 -187.103 -200.206 -174.167
0.3 0 0.45903 1.148 0.817
0.3 10 0.185299 0.86869 0.54825
0.3 300 -78.151 -82.6451 -73.25
0.3 600 -184.029 -197.219 -171.662
0.35 0 0.422882 1.146 0.8015
0.35 10 0.149951 0.867053 0.533246
0.35 300 -77.0296 -81.5708 -72.3235
0.35 600 -180.933 -194.212 -169.143
0.4 0 0.38912 1.144 0.786
0.4 10 0.117016 0.865429 0.518258
0.4 300 -75.8929 -80.4839 -71.3879
0.4 600 -177.814 -191.185 -166.609
0.45 0 0.357743 1.142 0.7705
0.45 10 0.0864969 0.863818 0.503287
0.45 300 -74.7407 -79.3843 -70.4431
0.45 600 -174.672 -188.136 -164.061
0.5 0 0.32875 1.14 0.755
0.5 10 0.0583943 0.862222 0.488333
0.5 300 -73.5728 -78.2718 -69.4889
0.5 600 -171.507 -185.067 -161.499
0.55 0 0.302143 1.138 0.7395
0.55 10 0.0327104 0.860642 0.473398
0.55 300 -72.3889 -77.146 -68.5252
0.55 600 -168.318 -181.976 -158.922
0.6 0 0.27792 1.136 0.724
0.6 10 0.00944709 0.859077 0.458483
0.6 300 -71.1888 -76.0069 -67.5519
0.6 600 -165.106 -178.864 -156.33
0.65 0 0.256082 1.134 0.7085
0.65 10 -0.0113934 0.857529 0.443588
0.65 300 -69.9723 -74.854 -66.5687
0.65 600 -161.87 -175.73 -153.723
0.7 0 0.23663 1.132 0.693
0.7 10 -0.0298089 0.856 0.428714
0.7 300 -68.7391 -73.6873 -65.5757
0.7 600 -158.609 -172.574 -151.102
0.75 0 0.219562 1.13 0.6775
0.75 10 -0.045797 0.85449 0.413864
0.75 300 -67.4889 -72.5064 -64.5725
0.75 600 -155.325 -169.396 -148.465
0.8 0 0.20488 1.128 0.662
0.8 10 -0.0593549 0.853 0.399037
0.8 300 -66.2216 -71.311 -63.5591
0.8 600 -152.016 -166.196 -145.814
0.85 0 0.192582 1.126 0.6465
0.85 10 -0.0704797 0.851532 0.384236
0.85 300 -64.9368 -70.101 -62.5353
0.85 600 -148.682 -162.973 -143.147
0.9 0 0.18267 1.124 0.631
0.9 10 -0.0791684 0.850087 0.369462
0.9 300 -63.6343 -68.876 -61.501
0.9 600 -145.324 -159.727 -140.464
0.95 0 0.175142 1.122 0.6155
0.95 10 -0.0854175 0.848667 0.354716
0.95 300 -62.3138 -67.6358 -60.4559
0.95 600 -141.94 -156.458 -137.766
