Temperatura: 0.0K			
x	Eg_Gamma	Eg_X	Eg_L
0,0000	0,7260	1,1600	0,9100
0,0500	0,6755	1,1580	0,8945
0,1000	0,6275	1,1560	0,8790
0,1500	0,5818	1,1540	0,8635
0,2000	0,5385	1,1520	0,8480
0,2500	0,4976	1,1500	0,8325
0,3000	0,4590	1,1480	0,8170
0,3500	0,4229	1,1460	0,8015
0,4000	0,3891	1,1440	0,7860
0,4500	0,3577	1,1420	0,7705
0,5000	0,3288	1,1400	0,7550
0,5500	0,3021	1,1380	0,7395
0,6000	0,2779	1,1360	0,7240
0,6500	0,2561	1,1340	0,7085
0,7000	0,2366	1,1320	0,6930
0,7500	0,2196	1,1300	0,6775
0,8000	0,2049	1,1280	0,6620
0,8500	0,1926	1,1260	0,6465
0,9000	0,1827	1,1240	0,6310
0,9500	0,1751	1,1220	0,6155
1,0000	0,1676	1,1200	0,6000
Temperatura: 10.0K			
x	Eg_Gamma	Eg_X	Eg_L
0,00	 0,448000 	 0,878750 	 0,638571 
 0,050000 	 0,398197 	 0,877048 	 0,623486 
 0,100000 	 0,350801 	 0,875355 	 0,608412 
 0,150000 	 0,305812 	 0,873672 	 0,593351 
 0,200000 	 0,263231 	 0,872000 	 0,578303 
 0,250000 	 0,223060 	 0,870339 	 0,563269 
 0,300000 	 0,185299 	 0,868690 	 0,548250 
 0,350000 	 0,149951 	 0,867053 	 0,533246 
 0,400000 	 0,117016 	 0,865429 	 0,518258 
 0,450000 	 0,086497 	 0,863818 	 0,503287 
 0,500000 	 0,058394 	 0,862222 	 0,488333 
 0,550000 	 0,032710 	 0,860642 	 0,473398 
 0,600000 	 0,009447 	 0,859077 	 0,458483 
 0,650000 	-0,011393 	 0,857529 	 0,443588 
 0,700000 	-0,029809 	 0,856000 	 0,428714 
 0,750000 	-0,045797 	 0,854490 	 0,413864 
 0,800000 	-0,059355 	 0,853000 	 0,399037 
 0,850000 	-0,070480 	 0,851532 	 0,384236 
 0,900000 	-0,079168 	 0,850087 	 0,369462 
 0,950000 	-0,085418 	 0,848667 	 0,354716 
 1,000000 	-0,091667 	 0,847247 	 0,339970 
Temperatura: 300.0K			
x	Eg_Gamma	Eg_X	Eg_L
0,0000	-84,5695	-88,8400	-78,6249
0,0500	-83,5356	-87,8364	-77,7504
0,1000	-82,4876	-86,8215	-76,8675
0,1500	-81,4254	-85,7952	-75,9761
0,2000	-80,3487	-84,7571	-75,0762
0,2500	-79,2573	-83,7071	-74,1675
0,3000	-78,1510	-82,6451	-73,2500
0,3500	-77,0296	-81,5708	-72,3235
0,4000	-75,8929	-80,4839	-71,3879
0,4500	-74,7407	-79,3843	-70,4431
0,5000	-73,5728	-78,2718	-69,4889
0,5500	-72,3889	-77,1460	-68,5252
0,6000	-71,1888	-76,0069	-67,5519
0,6500	-69,9723	-74,8540	-66,5687
0,7000	-68,7391	-73,6873	-65,5757
0,7500	-67,4889	-72,5064	-64,5725
0,8000	-66,2216	-71,3110	-63,5591
0,8500	-64,9368	-70,1010	-62,5353
0,9000	-63,6343	-68,8760	-61,5010
0,9500	-62,3138	-67,6358	-60,4559
1,0000	-60,9933	-66,3956	-59,4108
Temperatura: 600.0K			
x	Eg_Gamma	Eg_X	Eg_L
0,000	-202,139	-214,840	-186,487
0,050	-199,175	-211,952	-184,051
0,100	-196,190	-209,045	-181,600
0,150	-193,183	-206,119	-179,136
0,200	-190,154	-203,172	-176,659
0,250	-187,103	-200,206	-174,167
0,300	-184,029	-197,219	-171,662
0,350	-180,933	-194,212	-169,143
0,400	-177,814	-191,185	-166,609
0,450	-174,672	-188,136	-164,061
0,500	-171,507	-185,067	-161,499
0,550	-168,318	-181,976	-158,922
0,600	-165,106	-178,864	-156,330
0,650	-161,870	-175,730	-153,723
0,700	-158,609	-172,574	-151,102
0,750	-155,325	-169,396	-148,465
0,800	-152,016	-166,196	-145,814
0,850	-148,682	-162,973	-143,147
0,900	-145,324	-159,727	-140,464
0,950	-141,940	-156,458	-137,766
1,000	-138,556	-153,189	-135,068
